X,Y,OBJECTID,NrRNAL,Denominacao,DataRegisto,DataAberturaPublico,Modalidade,NrUtentes,Email,Endereco,CodigoPostal,LOCALIDADE,LatLong,FiabilidadeGeo,DTMNFR,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,ERT,SeloCleanSafe
-907531.9921,4943558.842,12,13,Matias Guest House,2012/10/31 00:00:00+00,2012/12/01 00:00:00+00,Moradia,6,nelsonneves1@gmail.com,3ª Rua do Lugar   ,3465-123,Cortiçada,"40,532026724553 ; -8,15249859370943",Fiavel,182105,Castelões,Tondela,Viseu,Viseu Dão Lafões,Centro,Turismo do Centro de Portugal,Não
-1016624.6037,4680105.9166,13,17,Sé Cathedral,2014/12/01 11:18:24+00,2014/12/01 00:00:00+00,Apartamento,6,cathedraloflisbon@gmail.com,Rua Afonso de Albuquerque 10 3 ,1100-010,Lisboa,"38,7092263610034 ; -9,13249419746814",Fiavel,110665,Santa Maria Maior,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-1016999.2207,4680816.3494,14,19,Calçada de São Lourenço,2014/12/01 11:49:16+00,2014/12/01 00:00:00+00,Apartamento,4,amffonseca@sapo.pt,Calçada São Lourenço 3 1º ,1100-529,Lisboa,"38,7142061938572 ; -9,13585943932443",Fiavel,110665,Santa Maria Maior,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
-979181.269099999,4482820.2996,15,20,Casa Vigia ,2009/01/01 00:00:00+00,2009/01/09 00:00:00+00,Moradia,6,casasdomar@hotmail.com,Urbanização Urbanização do Alto da Arrifan 26  ,8670-000,Aljezur,"37,3129648786961 ; -8,79613499998702",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-880895.9575,4660956.1158,16,21,Casa da Lagoa,2014/12/01 12:49:59+00,2014/12/08 00:00:00+00,Moradia,8,joaocanavarro@hotmail.com,Rua Cândido dos Reis 68  ,7000-582,Évora,"38,5748637052774 ; -7,91322302354005",NaoFiavel,070523,"União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",Évora,Évora,Alentejo Central,Alentejo,Turismo do Alentejo,Não
-832212.713300001,4875621.4988,18,24,Quinta da Catoula,2014/08/13 00:00:00+00,2023/06/01 00:00:00+00,Moradia,6,ze_aca@hotmail.com,Quinta Catoula   ,6230-160,Quinta da Catoula,"40,0665750013315 ; -7,475894",NaoFiavel,050413,Castelo Novo,Fundão,Castelo Branco,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Não
-986085.248300001,4462327.0894,19,26,Casa Ruina Velha,2009/07/01 00:00:00+00,2009/07/01 00:00:00+00,Moradia,2,info@casafajara.com,Zona Vilarinha   ,8670-238,Vilarinha,"37,1664060009849 ; -8,85815450004613",NaoFiavel,080302,Bordeira,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Sim
-985621.164299998,4486525.023,20,27,Casa Clérigo ,2009/01/22 00:00:00+00,2009/01/22 00:00:00+00,Moradia,10,oceancottage.monteclerigo@gmail.com,Zona Praia do Monte Clérigo    ,8670-140,Aljezur,"37,3394290881583 ; -8,8539855628264",PoucoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-986085.248300001,4462327.0894,21,28,Casa Verde,2009/07/01 00:00:00+00,2009/07/01 00:00:00+00,Moradia,6,info@casafajara.com,Zona Vilarinha   ,8670-238,Vilarinha,"37,1664060009849 ; -8,85815450004613",NaoFiavel,080302,Bordeira,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Sim
-980014.634300001,4483689.4385,22,29,Casa Velha  ,2009/01/22 00:00:00+00,2018/01/01 00:00:00+00,Moradia,12,daltondeirdre@yahoo.fr,1ª Rua Gabão   ,8670-140,Aljezur,"37,3191742962245 ; -8,80362124637003",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-958942.015000001,5033319.4148,23,32,inPátio Guest House,2014/12/01 16:41:53+00,2012/09/10 00:00:00+00,EstabelecimentoHospedagem,12,info@inpatio.pt,Pátio São Salvador 22  ,4050-567,Porto,"41,1420687829891 ; -8,61432268694089",NaoFiavel,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Não
-1049223.02,4678267.0472,25,34,Vila Grande,2014/12/02 09:31:45+00,2015/03/28 00:00:00+00,Moradia,9,correia.gabriella@gmail.com,Loteamento lote 5   ,8200-373,Patroves,"38,6963350530933 ; -9,42533075282585",NaoFiavel,110508,União das freguesias de Cascais e Estoril,Cascais,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-986795.141800001,4480502.6665,26,37,Arrifana Louge Guest House,2009/10/27 00:00:00+00,2009/10/27 00:00:00+00,EstabelecimentoHospedagem,16,oesteban@book4days.com,"Urbanização Arrifamar, Lote 46   ",8670-111,Aljezur,"37,2964044290027 ; -8,86453158210026",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-821485.132300001,4642363.8435,27,38,Refúgio da Vila,2014/12/02 11:20:12+00,2017/10/23 00:00:00+00,Moradia,4,refugiodavila2017@hotmail.com,Travessa das Pedras Altas 1  A,7200-175,Monsaraz,"38,4441720012174 ; -7,37952650004131",NaoFiavel,071103,Monsaraz,Reguengos de Monsaraz,Évora,Alentejo Central,Alentejo,Turismo do Alentejo,Não
-931763.563200001,4455512.5287,28,39,Casa Edviges,2014/11/11 00:00:00+00,2014/11/11 00:00:00+00,Moradia,4,luisa.l.felix@gmail.com,Zona Torre   ,8365-184,Torre,"37,1176080010716 ; -8,37017449984329",NaoFiavel,081303,Armação de Pêra,Silves,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-985441.543299999,4482372.7173,29,41,California Dream Inn - Apartamento 1,2009/04/07 00:00:00+00,2009/04/07 00:00:00+00,Apartamento,2,summer.rockstar@gmail.com,"Urbanização Vale da Telha,sectorG,lote142    ",8670-156,Aljezur,"37,3097670011646 ; -8,85237199958253",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-896240.4329,5056160.4538,30,42,Quinta do Cabo,2014/12/02 14:10:06+00,2014/12/01 00:00:00+00,Moradia,6,mpms@iol.pt,Rua Rio Tâmega 1295  ,4600-635,Gatão,"41,2964071855109 ; -8,05106479158844",PoucoFiavel,130142,"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão",Amarante,Porto,Tâmega e Sousa,Norte,Turismo do Porto e Norte de Portugal,Não
-985441.543299999,4482372.7173,31,44,California Dream Inn - Apartamento 2,2009/04/07 00:00:00+00,2009/04/07 00:00:00+00,Apartamento,4,summer.rockstar@gmail.com,"Urbanização Vale da Telha,SectorG,Lote 142   ",8670-156,Aljezur,"37,3097670011646 ; -8,85237199958253",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-871957.612,4835323.1965,32,45,Quinta da Eira,2012/08/24 00:00:00+00,2012/09/01 00:00:00+00,Moradia,4,mjlfigueira@gmail.com,Zona S/N   ,6150-724,Oliveiras,"39,7889700011919 ; -7,83292849952138",NaoFiavel,050808,União das freguesias de Sobreira Formosa e Alvito da Beira,Proença-A-Nova,Castelo Branco,Beira Baixa,Centro,Turismo do Centro de Portugal,Não
-979661.982700001,4490563.0679,33,46,Casa dos Avós,2010/02/17 00:00:00+00,2010/02/17 00:00:00+00,Moradia,4,geral@cm-aljezur.pt,Avenida 16 de Junho 141   ,8670-440,Rogil,"37,3682637196568 ; -8,80045332355598",Fiavel,080304,Rogil,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1018153.4455,4680060.7416,35,50,LIke Home - Bica,2014/11/27 19:58:45+00,2014/11/27 00:00:00+00,Apartamento,4,oxidante.lda@gmail.com,Calçada Bica Grande 22 1º ,1200-425,Lisboa,"38,7089096912667 ; -9,14622801704943",Fiavel,110661,Misericórdia,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-994542.7608,4440196.657,36,56,Casa do Cabo de Santa Maria,2009/09/01 00:00:00+00,2022/04/07 00:00:00+00,Apartamento,6,ana.amaro3@hotmail.com,1ª Rua Patrão António Faustino   ,8650-357,Sagres,"37,0078186123842 ; -8,93412962728427",NaoFiavel,081504,Sagres,Vila do Bispo,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-985018.893100001,5118091.7241,37,58,PRAIA E CAMPO,2014/11/28 14:47:18+00,2014/11/28 00:00:00+00,Moradia,8,loureirobento@gmail.com,Rua DONA ANTONIA 13  ,4900-588,VIANA DO CASTELO,"41,7130469927736 ; -8,84857526854548",NaoFiavel,160905,Areosa,Viana do Castelo,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Não
-857869.740800001,4465209.0125,38,59,José António Lopez Rodriguez,2014/11/26 00:00:00+00,2014/11/26 00:00:00+00,Apartamento,3,taviraflat312@gmail.com,Urbanização Nora Velha 1 Bloco B Apt 312,8800-209,Tavira,"37,1870335276897 ; -7,70637499972959",NaoFiavel,081412,União das freguesias de Tavira (Santa Maria e Santiago),Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-948830.9954,5130645.4211,39,62,Villa Ranhados,2014/11/28 16:21:06+00,2015/04/01 00:00:00+00,Moradia,8,sergio@distinctiveportugal.com,1ª Rua Lugar de Ranhados   ,4990-711,Ranhados,"41,7971744922747 ; -8,5234938524429",Fiavel,160737,Refóios do Lima,Ponte de Lima,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Não
-1017288.8225,4681121.391,40,66,Amália Studios,2014/11/28 18:19:19+00,2014/12/01 00:00:00+00,Apartamento,2,soniaalcaldeira@gmail.com,Calçada Santana 86 2º ,1150-305,Lisboa,"38,7163443003314 ; -9,1384609759942",Fiavel,110656,Arroios,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
-1017908.2065,4681150.6484,41,67,Lisbon Inn / Gloria 10,2014/11/28 19:18:21+00,2014/11/28 00:00:00+00,Apartamento,6,jduran@lisboninn.pt,Rua Santo António da Glória 1 3 ,1250-214,Lisboa,"38,7165493686362 ; -9,14402499704035",Fiavel,110666,Santo António,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-985441.543299999,4482372.7173,42,69,Casa Leuonitria,2010/03/25 00:00:00+00,2010/03/25 00:00:00+00,Moradia,6,geral@cm-aljezur.pt,Zona Aljezur    ,8670-156,Aljezur,"37,3097670011646 ; -8,85237199958253",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-985441.543299999,4482372.7173,43,73,California Dream Inn - Apartamento 3,2009/04/07 00:00:00+00,2009/04/07 00:00:00+00,Apartamento,2,summer.rockstar@gmail.com,"Urbanização Vale da Telha,SectorG,lote 142   ",8670-156,Aljezur,"37,3097670011646 ; -8,85237199958253",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-873128.331599999,4442572.135,44,74,The Marmalade House,2014/08/18 00:00:00+00,2022/07/22 00:00:00+00,Moradia,2,jcnguyen27@gmail.com,Rua 31 de Janeiro 28  ,8700-521,Olhão,"37,0248572575892 ; -7,84344525255896",NaoFiavel,081003,Olhão,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Sim
-879879.9419,4828602.8899,45,75,Casa da Avó Céu,2013/09/06 00:00:00+00,2013/10/01 00:00:00+00,Moradia,4,isabel_lourenco@sapo.pt,Rua do Forno   ,6150-321,Casais,"39,7425660009867 ; -7,90409600031614",NaoFiavel,050807,União das freguesias de Proença-a-Nova e Peral,Proença-A-Nova,Castelo Branco,Beira Baixa,Centro,Turismo do Centro de Portugal,Não
-986802.090100002,4480266.8196,46,76,"Casa do Guarda ""Apartamento da Arriba""",2010/11/30 00:00:00+00,2010/11/30 00:00:00+00,Apartamento,5,casasdomar@hotmail.com,Zona Praia da Arrifana    ,8670-111,Aljezur,"37,2947190005787 ; -8,86459399976558",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-983625.644099999,4480604.3395,47,77,Solar dos Vales,2010/05/04 00:00:00+00,2010/05/04 00:00:00+00,EstabelecimentoHospedagem,10,solardosvales@hotmail.com,Zona Vales   ,8670-158,Vales,"37,2971310008648 ; -8,83605949956473",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-965692.8213,4453324.0356,49,82,Marc Mennigmann e Uta Minzberg,2014/10/07 00:00:00+00,2014/11/11 00:00:00+00,EstabelecimentoHospedagem,4,helena.gloria@mail.telepac.pt,Rua Amendoeira 9A  ,8600-685,Lagos,"37,1019298675815 ; -8,67496621133185",NaoFiavel,080708,São Gonçalo de Lagos,Lagos,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-871301.884599999,4448274.2007,50,83,Nêspera,2014/12/03 09:08:53+00,2014/12/03 00:00:00+00,Moradia,2,info@cochichosfarm.com,Zona Sítio da Igreja Cx. P.430Z R/c ,8700-206,Igreja,"37,0657410006129 ; -7,82703800016578",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Sim
-985441.543299999,4482372.7173,51,84,California Dream Inn - Apartamento 4,2009/04/07 00:00:00+00,2009/04/07 00:00:00+00,Apartamento,4,summer.rockstar@gmail.com,"Urbanização Vale da Telha,SectorG,Lote142   ",8670-156,Aljezur,"37,3097670011646 ; -8,85237199958253",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-872649.632800002,4443078.2699,52,85,Brisa do Sul,2014/08/04 00:00:00+00,2014/08/04 00:00:00+00,Apartamento,4,onautal1998@gmail.com,Avenida República 116 3º  Esq.,8700-310,Olhão,"37,0284871290456 ; -7,83914502800272",NaoFiavel,081003,Olhão,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1017213.2233,4680529.3693,53,92,Baixa Cosy,2014/11/27 15:37:05+00,2014/11/27 00:00:00+00,Apartamento,6,lcameira@hotmail.com,Rua Correeiros 174 3º esq.º,1100-169,Lisboa,"38,7121946265956 ; -9,13778185729604",Fiavel,110665,Santa Maria Maior,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
-1018476.1287,4680244.2689,54,93,Vue Sur Lisbonne,2014/11/27 16:24:47+00,2014/11/27 00:00:00+00,Apartamento,2,jorge.l@iscte.pt,Travessa Alcaide 12 3 dto,1200-013,Lisboa,"38,7101961791591 ; -9,14912672950682",Fiavel,110661,Misericórdia,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-1019248.3308,4679995.6296,55,95,Like Home - Santos,2014/11/27 17:52:08+00,2014/11/27 00:00:00+00,Apartamento,4,oxidante.lda@gmail.com,1ª Rua Vicente Borga 112 R/C Esqº,1200-866,Lisboa,"38,708453264249 ; -9,15606353841035",Fiavel,110660,Estrela,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-1016995.1859,4680758.4906,56,96,casa do Largo,2014/11/27 18:05:41+00,2025/04/17 00:00:00+00,Apartamento,4,franciscosaldanha_21@hotmail.com,Largo Trigueiros 1 Apartament V,1100-611,Lisboa,"38,7138006415648 ; -9,13582319356322",Fiavel,110665,Santa Maria Maior,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
-1019248.3308,4679995.6296,58,98,Like Home - Santos,2014/11/27 18:53:17+00,2014/11/27 00:00:00+00,Apartamento,5,oxidante.lda@gmail.com,1ª Rua Vicente Borga 112 4º Dto,1200-866,Lisboa,"38,708453264249 ; -9,15606353841035",Fiavel,110660,Estrela,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-1018154.6827,4680056.8727,59,99,Like Home - Bica,2014/11/27 19:35:20+00,2014/11/27 00:00:00+00,Apartamento,4,oxidante.lda@gmail.com,Calçada Bica Grande 20 R/Ch Dto,1200-425,Lisboa,"38,7088825712864 ; -9,1462391307373",Fiavel,110661,Misericórdia,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-952642.738600001,4479071.6744,60,100,Casa Childs,2009/06/30 00:00:00+00,2009/06/30 00:00:00+00,Moradia,10,turifoia@gmail.com,Zona Caldas de Monchique   ,8550-232,Caldas de Monchique,"37,2861775757586 ; -8,55773532389266",Fiavel,080903,Monchique,Monchique,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1048388.3739,4725203.6622,61,102,Casa do Ouriço,2014/11/28 11:09:24+00,2015/05/01 00:00:00+00,Moradia,8,fmboquinhas@gmail.com,Rua Val D'Ouriço 21  ,2640-206,Casais de São Lourenço,"39,0246540013613 ; -9,41783300000175",NaoFiavel,110904,Encarnação,Mafra,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-857869.740800001,4465209.0125,62,107,Arnaud Wyngene,2014/11/28 14:08:43+00,2016/04/16 00:00:00+00,Apartamento,2,marisa@taviralawyers.com,Urbanização Urbanização Nora Velha Bloco B 3º Apt 312,8800-209,Tavira,"37,1870335276897 ; -7,70637499972959",NaoFiavel,081412,União das freguesias de Tavira (Santa Maria e Santiago),Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-862354.3609,4446756.1735,63,109,""" Solar da Marés""",2014/06/11 00:00:00+00,2014/12/19 00:00:00+00,Apartamento,7,tony.rolao@hotmail.com,Rua Rua Magalhães Lima 57 1º ,8700-036,Fuseta,"37,0548589144408 ; -7,7466610271928",NaoFiavel,081007,Fuseta,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-871301.884599999,4448274.2007,64,110,Carolina Maria Zijlstra,2011/11/08 00:00:00+00,2011/11/08 00:00:00+00,Moradia,8,mdvgsec@valedolobo.co.uk,Zona Boavista   ,8700-206,Quelfes,"37,0657410006129 ; -7,82703800016578",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-872627.030400001,4443017.2684,65,111,Lavadeiras,2014/12/03 10:09:58+00,2014/12/03 00:00:00+00,Apartamento,2,joaquimbandarra.seguros@gmail.com,Rua Lavadeiras 69 2º. ,8700-405,Olhão,"37,0280496514659 ; -7,83894198759434",NaoFiavel,081003,Olhão,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-871301.884599999,4448274.2007,66,112,Alfarroba,2014/12/03 10:18:48+00,2014/12/03 00:00:00+00,Apartamento,4,info@cochichosfarm.com,Zona Sítio da Igreja Cx. P.430Z 1.º ,8700-206,Igreja,"37,0657410006129 ; -7,82703800016578",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Sim
-1019588.7719,4680008.7064,67,113,Lapa Santos Apartment,2014/12/03 10:22:40+00,2014/12/03 00:00:00+00,Apartamento,4,clive.cook@sapo.pt,Rua São João da Mata 103 1 ,1200-847,Lisboa,"38,7085449315102 ; -9,1591217727861",Fiavel,110660,Estrela,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-866647.171399999,4456094.2718,68,114,Jardim Paraíso,2012/02/20 00:00:00+00,2012/02/20 00:00:00+00,Moradia,8,k.e@tesco.net,Zona Foupana   ,8700-073,Foupana,"37,1217750005485 ; -7,78522400045998",NaoFiavel,081008,Moncarapacho,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-985441.543299999,4482372.7173,69,116,California Dream Inn - Apartamento 5,2009/04/07 00:00:00+00,2009/04/07 00:00:00+00,Apartamento,2,summer.rockstar@gmail.com,"Urbanização Vale da Telha,SectorG,Lote 142   ",8670-156,Aljezur,"37,3097670011646 ; -8,85237199958253",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-891782.914999999,4903059.6845,70,117,Casa de Verão,2011/04/12 00:00:00+00,2011/04/12 00:00:00+00,Moradia,6,casadeveraoportugal@gmail.com,Zona Ramal das Medas    ,3305-183,Ramal das Medas ,"40,2549452351879 ; -8,01102222627292",Fiavel,060121,União das freguesias de Côja e Barril de Alva,Arganil,Coimbra,Região de Coimbra,Centro,Turismo do Centro de Portugal,Não
-891756.691799998,4903218.3448,71,119,Vivenda a Nossa Coroa ,2009/06/24 00:00:00+00,2020/04/23 00:00:00+00,Moradia,15,didier@renson.biz,Zona Ramal das Medas    ,3305-183,Ramal da Medas,"40,2560329596686 ; -8,01078665980806",Fiavel,060121,União das freguesias de Côja e Barril de Alva,Arganil,Coimbra,Região de Coimbra,Centro,Turismo do Centro de Portugal,Não
-999451.208700001,4799666.6481,72,120,Casa São Bernardo,1991/08/02 00:00:00+00,2008/09/24 00:00:00+00,Moradia,7,casa.saobernardo@gmail.com,Travessa à Rua de Arouca   ,2460-080,Alcobaça,"39,5424029590902 ; -8,9782229652484",Fiavel,100121,União das freguesias de Alcobaça e Vestiaria,Alcobaça,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
-850659.0123,4458071.4651,73,122,Sempre ao Lado,2014/12/03 11:00:36+00,2014/01/01 00:00:00+00,Moradia,6,info@hometeamportugal.com,Urbanização Quinta da Barra Lote 97  ,8800-215,Tavira,"37,1359358342458 ; -7,64159992334405",NaoFiavel,081412,União das freguesias de Tavira (Santa Maria e Santiago),Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-978617.6679,4452407.7801,74,124,Vila Andorinha 93,2010/04/20 00:00:00+00,2010/04/20 00:00:00+00,Moradia,8,john@almaverde.com,Urbanização das Furnas Lt 93  ,8650-035,Barão de São Miguel,"37,0953649458339 ; -8,7910720837202",Fiavel,081501,Barão de São Miguel,Vila do Bispo,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-985228.7005,4484067.4816,75,125,casa do Sudoeste ,2010/01/28 00:00:00+00,2010/01/28 00:00:00+00,Moradia,8,joafeca@gmail.com,Zona Vale da Telha    ,8670-156,Aljezur ,"37,321875001306 ; -8,8504600002313",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-979659.9844,4490577.7969,76,127,Casa das Andorinhas ,2010/06/07 00:00:00+00,2010/06/07 00:00:00+00,Moradia,4,geral@cm-aljezur.pt,Avenida 16 de Junho  139 1º ,8670-440,Rogil ,"37,368368875108 ; -8,80043537191748",Fiavel,080304,Rogil,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-986802.090100002,4480266.8196,77,131,VILA ARRIFANA MAR,2012/06/14 00:00:00+00,2012/06/14 00:00:00+00,Moradia,6,rps.engimobiliarum@gmail.com,"Urbanização Alto da Arrifana, lote 24   ",8670-111,Praia da Arrifana,"37,2947190005787 ; -8,86459399976558",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
